ship_city,ship_state,ship_postal_code,ship_country
HYDERABAD,TELANGANA,502319.0,IN
NEW DELHI,DELHI,110096.0,IN
SIBSAGAR,ASSAM,785667.0,IN
JAMMU,JAMMU & KASHMIR,180015.0,IN
Pune,MAHARASHTRA,411019.0,IN
Pathanapuram,KERALA,689695.0,IN
JAUNPUR,UTTAR PRADESH,222001.0,IN
SOLAPUR,MAHARASHTRA,413001.0,IN
PUNE,MAHARASHTRA,411047.0,IN
MAHBUBNAGAR,TELANGANA,509001.0,IN
Nk sweets Vikasnagar,UTTARAKHAND,248198.0,IN
DARJEELING,WEST BENGAL,734101.0,IN
RANCHI,JHARKHAND,834001.0,IN
BENGALURU,KARNATAKA,560019.0,IN
LUDHIANA,PUNJAB,141001.0,IN
HYDERABAD,TELANGANA,500043.0,IN
MUZAFFARPUR,BIHAR,842002.0,IN
SECUNDERABAD,TELANGANA,500011.0,IN
Sonbhadra,UTTAR PRADESH,231216.0,IN
KAKINADA,ANDHRA PRADESH,533003.0,IN
HALDIA,WEST BENGAL,721635.0,IN
HYDERABAD,TELANGANA,500056.0,IN
Tivim,GOA,403502.0,IN
CHENNAI,TAMIL NADU,600024.0,IN
Agra,UTTAR PRADESH,282001.0,IN
MANDVI KACHCHH DISTRICT,Gujarat,370465.0,IN
SAMBALPUR,ODISHA,768004.0,IN
KANNIYAKUMARI,TAMIL NADU,629701.0,IN
"Chinchwad ,Pune",MAHARASHTRA,411019.0,IN
HYDERABAD,TELANGANA,500094.0,IN
CHENNAI,TAMIL NADU,600091.0,IN
Hyderabad,TELANGANA,500008.0,IN
PURNIA,BIHAR,854301.0,IN
kolkata,WEST BENGAL,700059.0,IN
SHILLONG,MEGHALAYA,793022.0,IN
PUNE,MAHARASHTRA,411057.0,IN
TADEPALLIGUDEM,ANDHRA PRADESH,534101.0,IN
Ghaziabad,UTTAR PRADESH,201001.0,IN
GWALIOR,MADHYA PRADESH,474001.0,IN
AKOLA,MAHARASHTRA,444101.0,IN
JORHAT,ASSAM,785001.0,IN
CHENNAI,TAMIL NADU,600100.0,IN
RAMANAGARA,KARNATAKA,562159.0,IN
Vijayapur,KARNATAKA,586109.0,IN
BOKARO STEEL CITY,JHARKHAND,827001.0,IN
BENGALURU,KARNATAKA,560008.0,IN
LUCKNOW,UTTAR PRADESH,226002.0,IN
KHAMMAM,TELANGANA,507003.0,IN
NEW DELHI,DELHI,110084.0,IN
AURANGABAD,MAHARASHTRA,431002.0,IN
Pune,MAHARASHTRA,411014.0,IN
GADARWARA,MADHYA PRADESH,487551.0,IN
HYDERABAD,TELANGANA,500050.0,IN
PUDUCHERRY,PUDUCHERRY,605001.0,IN
SHIRDI,MAHARASHTRA,423109.0,IN
VELLORE,TAMIL NADU,632004.0,IN
noida,UTTAR PRADESH,201301.0,IN
Mangaluru,KARNATAKA,575007.0,IN
SINGRAULI,MADHYA PRADESH,486889.0,IN
NEW DELHI,DELHI,110063.0,IN
BENGALURU,KARNATAKA,560077.0,IN
MUMBAI,MAHARASHTRA,400097.0,IN
THRIPPUNITHURA,KERALA,682301.0,IN
KENDUJHAR,ODISHA,758001.0,IN
MUMBAI,MAHARASHTRA,400066.0,IN
KALYAN,MAHARASHTRA,421201.0,IN
CHENNAI,TAMIL NADU,600015.0,IN
CHENNAI,TAMIL NADU,600115.0,IN
GURUGRAM,HARYANA,122022.0,IN
LUDHIANA,PUNJAB,141012.0,IN
Nerul,GOA,403114.0,IN
IMPHAL,MANIPUR,795004.0,IN
PALASBARI,ASSAM,781120.0,IN
Chikkaballapur,KARNATAKA,562101.0,IN
Andul near maya stores,WEST BENGAL,711302.0,IN
BENGALURU,KARNATAKA,560078.0,IN
MUMBAI,MAHARASHTRA,400067.0,IN
Mumbai,MAHARASHTRA,400078.0,IN
HYDERABAD,TELANGANA,500067.0,IN
